id,parent_id,scientific_name,common_name,taxonomic_level
WB0,,"Arthropoda","","phylum"
WB1,WB0,"Crustacea","","subphylum"
WB2,WB1,"Decapoda","","class"
WB3,WB2,"Parastacidae","freshwater crayfish or yabbies","family"
WB4,WB2,"Hymenosomatidae","five cent crab, false spider crab","family"
WB5,WB2,"Palaemonidae","","family"
WB6,WB5,"Macrobrachium","freshwater prawn","genus"
WB7,WB2,"Atyidae","glass shrimp","family"
WB8,WB1,"Isopoda","","class"
WB9,WB8,"Janiridae","water slaters","family"
WB10,WB8,"Phreatoicidae","phreatoicids, cow shrimp","family"
WB11,WB1,"Amphipoda","scuds, sideswimmers","class"
WB12,WB1,"Anostraca","fairy shrimp","order"
WB13,WB1,"Conchostraca","clam shrimp","order"
WB14,WB1,"Notostraca","shield shrimp, tadpole shrimp","order"
WB15,WB0,"Chelicerata","","subphylum"
WB16,WB15,"Araneae","","order"
WB17,WB16,"Pisauridae and Lycosidae","fishing and wolf spiders","family"
WB18,WB15,"Acarina","water mites","order"
WB19,WB0,"Hexapoda","","subphylum"
WB20,WB19,"Insecta","","class"
WB21,WB20,"Megaloptera","","order"
WB22,WB21,"Corydalidae","toebiters","family"
WB23,WB20,"Neuroptera","lacewing larvae","order"
WB24,WB20,"Lepidoptera","caterpillars","order"
WB25,WB20,"Coleoptera","","order"
WB26,WB25,"Curculionidae","weevils","family"
WB27,WB25,"Dytiscidae","","family"
WB28,WB27,"Australphilus","Australphilus","genus"
WB29,WB27,"Carabhydrus","waisted diving beetle","genus"
WB30,WB27,"Eretes","Eretes","genus"
WB31,WB27,"Hyderodes","Hyderodes","genus"
WB32,WB27,"Lancetes","Lancetes","genus"
WB33,WB27,"Onychohydrus","Onychohydrus","genus"
WB34,WB27,"Rhantus","Rhantus","genus"
WB35,WB27,"Spencerhydrus","Spencerhydrus","genus"
WB36,WB27,"little diving beetles","little diving beetles","alt"
WB37,WB27,"mixed diving beetles","mixed diving beetles","alt"
WB38,WB27,"stealth diving beetles","stealth diving beetles","alt"
WB39,WB27,"Dytiscidae","","family"
WB40,WB39,"taper-tailed tiger larvae","taper-tailed tigers larvae","alt"
WB41,WB39,"two-tailed tiger larvae","two-tailed tigers larvae","alt"
WB42,WB39,"nosey tiger larvae","nosey tigers larvae","alt"
WB43,WB39,"crawling water tiger larvae","crawling water tiger larvae","alt"
WB44,WB39,"swimming water tiger larvae","swimming water tiger larvae","alt"
WB45,WB25,"Elmidae","","family"
WB46,WB45,"Elmidae adult","Riffle beetle","family"
WB47,WB45,"Elmidae larvae","Riffle beetle larvae","family"
WB48,WB25,"Gyrinidae","","family"
WB49,WB48,"Gyrinidae adult","Whirligig beetle","family"
WB50,WB48,"Gyrinidae larvae","Whirligig beetle larvae","family"
WB51,WB25,"Haliplidae","","family"
WB52,WB51,"Haliplus","Tortoise beetle larvae","family"
WB53,WB25,"Hydraenidae and Hydrochidae","Crawling water beetle","family"
WB54,WB25,"Hydrophilidae","","family"
WB55,WB54,"Berosus","Tasselled scavenger","genus"
WB56,WB54,"Helochares","Helochares","genus"
WB57,WB54,"Hydrophilus","Ugly Bob","genus"
WB58,WB54,"Water scavenger beetle adult","Water scavenger beetle adult","alt"
WB59,WB54,"Water scavenger beetle larvae","Water scavenger beetle larvae","alt"
WB60,WB25,"Hygrobiidae","","family"
WB61,WB60,"Hygrobia adult","Screetch beetle adult","genus"
WB62,WB60,"Hygrobia larvae","Screetch beetle larvae","genus"
WB63,WB25,"Psephenidae","","family"
WB64,WB63,"Sclerocyphon","Water penny","genus"
WB65,WB25,"Ptilodactylidae","","family"
WB66,WB65,"Byrrocryptus","Byrrocryptus","genus"
WB67,WB25,"Scirtidae","Marsh beetle larvae","family"
WB68,WB20,"Diptera","","order"
WB69,WB68,"Athericidae","Tasselled maggot","family"
WB70,WB68,"Blephariceridae","Bleff","family"
WB71,WB68,"Ceratopogonidae","Pog","family"
WB72,WB68,"Chaoboridae","Phantom midge","family"
WB73,WB68,"Chironomidae","","family"
WB74,WB73,"Symbiocladius","Backpack midge","genus"
WB75,WB73,"Chironomus","Blood worm","genus"
WB76,WB73,"Chironomid","Chironomid","alt"
WB77,WB68,"Culicidae","Mosquito larvae, wrigglers","family"
WB78,WB68,"Dixidae","'U' bent midges","family"
WB79,WB68,"Ephydridae and Sciomyzidae","Wetland maggots","family"
WB80,WB68,"Psychodidae","Moth fly larvae","family"
WB81,WB68,"Simuliidae","Black fly larvae","family"
WB82,WB68,"Stratiomyidae","Soldier fly larvae","family"
WB83,WB68,"Syrphidae","Rat tailed maggot","family"
WB84,WB68,"Tabanidae, Dolichopodidae, Empididae & some Tipulidae","River maggots","family"
WB85,WB68,"Tipulidae","Crane fly larvae","family"
